calculating first covariance
(85215, 3)
         259047795 function calls (259044026 primitive calls) in 617.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      764    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
        1    0.000    0.000    0.000    0.000 format.py:290(_write_array_header)
        1    0.000    0.000    0.000    0.000 warnings.py:106(_formatwarnmsg)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
      196    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 linecache.py:15(getline)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 linecache.py:37(getlines)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
        1    0.000    0.000    0.000    0.000 linecache.py:82(updatecache)
      132    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        5    0.000    0.000    0.000    0.000 decorator.py:169(make)
      155    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 numerictypes.py:942(_register_types)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
     1511    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.000    0.000 core.py:126(doc_note)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
       22    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
     1511    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1723    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 re.py:204(split)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      865    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       51    0.000    0.000    0.000    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      120    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
      168    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      561    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
      100    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        4    0.000    0.000    0.000    0.000 numeric.py:2916(extend_all)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
      392    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      307    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      344    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:1082(getfullargspec)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      992    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        4    0.000    0.000    0.000    0.000 getlimits.py:376(__new__)
